input,time
46,636
47,547
48,688
49,587
50,588
51,613
52,994
53,2113
54,214
55,261
56,404
57,295
58,218
59,217
60,238
61,239
62,240
63,428187
64,2124
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,18
17,19
18,22
19,25
20,28
21,29
22,30
23,31
24,42
25,47
26,48
27,57
28,58
29,61
30,62
31,63
32,66
33,67
34,162
35,163
36,166
37,187
38,154
39,103
40,110
41,115
42,134
43,139
44,140
45,145
46,146
47,153
48,166
49,169
50,224
51,225
52,226
53,229
54,1246
55,3239
56,3240
57,2001
58,2006
59,1985
60,4332
61,769
62,844
63,1097
64,494690
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,29
26,30
27,31
28,32
29,33
30,34
31,35
32,36
33,37
34,128
35,151
36,160
37,257
38,538
39,569
40,886
41,1247
42,2466
43,5721
44,6758
45,7327
46,7328
47,4523
48,2284
49,2591
50,4132
51,4133
52,4570
53,5483
54,10518
55,12165
56,38482
57,6905
58,109354
59,125273
60,720844
61,1095535
62,1095590
63,1752207
64,5780392
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,22
19,23
20,26
21,31
22,32
23,33
24,34
25,35
26,36
27,43
28,44
29,45
30,58
31,59
32,60
33,61
34,134
35,135
36,144
37,153
38,158
39,159
40,160
41,175
42,180
43,189
44,190
45,287
46,462
47,101
48,102
49,103
50,104
51,105
52,118
53,127
54,110
55,141
56,148
57,769
58,872
59,885
60,864
61,4203
62,4208
63,4917
64,4918
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,22
21,23
22,24
23,25
24,26
25,35
26,36
27,39
28,40
29,41
30,60
31,61
32,62
33,63
34,66
35,71
36,96
37,97
38,98
39,127
40,138
41,165
42,172
43,173
44,174
45,175
46,176
47,177
48,192
49,193
50,220
51,877
52,252
53,249
54,2612
55,2613
56,1354
57,2577
58,742
59,819
60,958
61,305
62,306
63,331
64,364
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,32
31,31
32,38
33,41
34,36
35,37
36,38
37,39
38,56
39,59
40,102
41,105
42,106
43,211
44,286
