input,time
133800,112
133900,129
134000,124
134100,101
134200,115
134300,100
134400,127
134500,82
134600,99
134700,105
134800,122
134900,108
135000,90
135100,117
135200,123
135300,114
135400,111
135500,99
135600,113
135700,126
135800,120
135900,104
136000,109
136100,116
136200,111
136300,78
136400,91
136500,109
136600,124
136700,118
136800,102
136900,119
137000,116
137100,104
137200,100
137300,126
137400,112
137500,79
137600,94
137700,118
137800,109
137900,116
138000,114
138100,116
138200,82
138300,92
138400,98
138500,116
138600,105
138700,127
138800,112
138900,77
139000,92
139100,112
139200,115
139300,122
139400,123
139500,110
139600,111
139700,115
139800,121
139900,120
140000,118
140100,108
140200,125
140300,115
140400,120
140500,125
140600,109
140700,105
140800,112
140900,80
141000,110
141100,94
141200,105
141300,110
141400,125
141500,114
141600,111
141700,124
141800,119
141900,107
142000,116
142100,101
142200,77
142300,109
142400,120
142500,112
142600,82
142700,93
142800,100
142900,121
143000,84
143100,109
143200,90
143300,121
143400,113
143500,101
143600,88
143700,106
143800,106
143900,120
144000,115
144100,124
144200,106
144300,123
144400,110
144500,119
144600,108
144700,129
144800,102
144900,116
145000,109
145100,115
145200,121
145300,110
145400,78
145500,102
145600,112
145700,122
145800,113
145900,127
146000,111
146100,102
146200,117
146300,122
146400,87
146500,126
146600,124
146700,110
146800,112
146900,112
147000,123
147100,125
147200,120
147300,115
147400,105
147500,101
147600,120
147700,120
147800,107
147900,109
148000,78
148100,101
148200,104
148300,117
148400,110
148500,105
148600,124
148700,119
148800,111
148900,78
149000,100
149100,78
149200,91
149300,116
149400,74
149500,85
149600,107
149700,126
149800,137
149900,110
150000,77
150100,107
150200,104
150300,109
150400,80
150500,71
150600,93
150700,113
150800,109
150900,120
151000,111
151100,83
151200,79
151300,102
151400,125
151500,128
151600,84
151700,101
151800,114
151900,1313
152000,106
152100,100
152200,114
152300,126
152400,127
152500,136
152600,104
152700,111
152800,111
152900,125
153000,128
153100,126
153200,123
153300,110
153400,121
153500,112
153600,500
153700,102
153800,95
153900,111
154000,81
154100,114
154200,111
154300,82
154400,104
154500,107
154600,81
154700,104
154800,113
154900,114
155000,110
155100,120
155200,102
155300,126
155400,112
155500,117
155600,116
155700,113
155800,111
155900,117
156000,116
156100,98
156200,93
156300,123
156400,102
156500,115
156600,120
156700,106
156800,106
156900,125
157000,120
157100,112
157200,117
157300,117
157400,102
157500,118
157600,121
157700,116
157800,82
157900,84
158000,108
158100,103
158200,85
158300,104
158400,116
158500,78
158600,103
158700,117
158800,119
158900,104
159000,119
159100,122
159200,96
159300,100
159400,99
159500,115
159600,82
159700,90
159800,103
159900,104
160000,102
160100,121
160200,111
160300,110
160400,89
160500,120
160600,93
160700,121
160800,113
160900,113
161000,119
161100,114
161200,120
161300,107
161400,109
161500,129
161600,113
161700,127
161800,93
161900,120
162000,107
162100,122
162200,100
162300,114
162400,74
162500,73
162600,108
162700,115
162800,124
162900,121
163000,117
163100,118
163200,81
163300,102
163400,113
163500,109
163600,1307
163700,104
163800,99
163900,122
164000,120
164100,77
164200,94
164300,122
164400,126
164500,142
164600,126
164700,130
164800,123
164900,113
165000,114
165100,115
165200,78
165300,93
165400,123
165500,98
165600,121
165700,118
165800,119
165900,124
166000,108
166100,77
166200,109
166300,105
166400,109
166500,80
166600,96
166700,106
166800,108
166900,105
167000,122
167100,114
